Console,Title,Licensee,Released
NES,Golf,Nintendo,1985-10-01
NES,Golf Grand Slam,Atlus Software,1991-12-01
NES,Golgo 13: Top Secret Episode,Vic Tokai,1988-09-01
NES,Gotcha!,LJN,1987-11-01
NES,Gradius,Konami,1986-12-01
NES,Greg Norman's Golf Power,Virgin Interactive,1992-07-01
NES,Gremlins 2: The New Batch,Sunsoft,1990-10-01
NES,Guerilla War,SNK,1989-06-01
NES,Gumshoe,Nintendo,1986-06-01
NES,Gun Nac,Ascii,1991-09-01
NES,Gunsmoke,Capcom,1988-02-01
NES,Gyromite,Nintendo,1985-10-01
NES,Gyruss,Ultra Soft,1989-02-01
NES,Harlem Globetrotters,Gametek,1991-03-01
NES,Hatris,Bullet Proof Software,1992-04-01
NES,Heavy Barrel,Data East,1990-03-01
NES,Heavy Shreddin',Parker Brothers,1990-06-01
NES,High Speed,Tradewest,1991-07-01
NES,Hogan's Alley,Nintendo,1985-10-01
NES,Hollywood Squares,Gametek,1989-09-01
NES,Home Alone,THQ,1991-10-01
NES,Home Alone 2: Lost in New York,THQ,1992-10-01
NES,Hook,Sony Imagesoft,1992-04-01
NES,Hoops,Jaleco,1989-06-01
NES,Hudson Hawk,Sony Imagesoft,1992-02-01
NES,Hydlide,FCI,1989-06-01
NES,Ice Climber,Nintendo,1985-10-01
NES,Ice Hockey,Nintendo,1988-03-01
NES,Ikari Warriors,SNK,1987-05-01
NES,Ikari Warriors II: Victory Road,SNK,1988-04-01
NES,Ikari Warriors III: The Rescue,SNK,1991-02-01
NES,Image Fight,Irem,1990-07-01
NES,Indiana Jones and the Last Crusade,Taito Software,1991-03-01
NES,Indiana Jones and the Last Crusade,UBI Soft,1993-12-01
NES,Indiana Jones and the Temple of Doom,Mindscape,1988-12-01
NES,Infiltrator,Mindscape,1990-01-01
NES,Iron Tank,SNK,1988-07-01
NES,IronSword: Wizards and Warriors II,Acclaim,1989-12-01
NES,Isolated Warrior,NTVIC,1991-02-01
NES,"Ivan ""Iron Man"" Stewart's Super Off-Road",Tradewest,1990-04-01
NES,Jack Nicklaus' Major Championship Golf,Konami,1990-03-01
NES,Jackal,Konami,1988-09-01
NES,Jackie Chan's Action Kung Fu,Hudson Soft,1990-12-01
NES,James Bond Jr.,THQ,1992-11-01
NES,Jaws,LJN,1987-11-01
NES,Jeopardy!,Gametek,1988-09-01
NES,Jeopardy! 25th Silver Anniversary Edition,Gametek,1990-06-01
NES,Jeopardy! Jr. Edition,Gametek,1989-10-01
NES,Jimmy Connors Pro Tennis Tour,UBI Soft,1993-11-01
NES,Joe & Mac,Data East,1992-12-01
NES,John Elway's Quarterback,Tradewest,1989-03-01
NES,Jordan vs. Bird: One-on-One,Milton Bradley,1989-08-01
NES,Journey to Silius,Sunsoft,1990-09-01
NES,Joust,Hal America,1988-10-01
NES,Jurassic Park,Ocean,1993-06-01
NES,Kabuki: Quantum Fighter,Hal America,1991-01-01
NES,Karate Champ,Data East,1986-11-01
NES,Karate Kid,LJN,1987-11-01
NES,Karnov,Data East,1988-01-01
NES,Kick Master,Taito Software,1992-01-01
NES,Kickle Cubicle,Irem,1990-09-01
NES,Kid Icarus,Nintendo,1987-07-01
NES,Kid Klown in Night Mayor World,Kemco,1993-04-01
NES,Kid Kool,Vic Tokai,1990-03-01
NES,Kid Niki,Data East,1987-11-01
NES,King's Knight,Square Soft,1989-09-01
NES,King's Quest V,Konami,1992-06-01
NES,Kings of the Beach,Ultra Soft,1990-01-01
NES,Kirby's Adventure,Nintendo,1993-05-01
NES,Kiwi Kraze,Taito Software,1991-03-01
NES,KlashBall,Sofel,1991-07-01
NES,Knight Rider,Acclaim,1989-12-01
NES,Krusty's Funhouse,Acclaim,1992-09-01
NES,Kung Fu,Nintendo,1985-10-01
NES,Kung Fu Heroes,Culture Brain,1989-03-01
NES,L'Empereur,Koei,1991-11-01
NES,Laser Invasion,Ultra Soft,1991-06-01
NES,Last Action Hero,Sony Imagesoft,1993-10-01
NES,Lee Trevino's Fighting Golf,SNK,1988-09-01
NES,Legend of Ghost Lion,Kemco,1992-10-01
NES,Legendary Wings,Capcom,1988-07-01
NES,Legends of the Diamond,Bandai,1992-01-01
NES,Lemmings,Sunsoft,1992-11-01
NES,Lethal Weapon,Ocean,1993-04-01
NES,Life Force,Konami,1988-08-01
NES,Little League Baseball: Championship Series,SNK,1990-07-01
NES,Little Nemo: The Dream Master,Capcom,1990-09-01
NES,Little Ninja Brothers,Culture Brain,1990-12-01
NES,Little Samson,Taito Software,1992-11-01
NES,Lode Runner,Broderbund,1987-09-01
NES,LoopZ,Mindscape,1990-10-01
NES,Low G-Man,Taxan,1990-09-01
NES,Lunar Pool,FCI,1987-10-01
NES,M.C. Kids,Virgin Interactive,1992-02-01
NES,M.U.L.E.,Mindscape,1990-09-01
NES,M.U.S.C.L.E.,Bandai,1986-10-01
NES,Mach Rider,Nintendo,1985-10-01
NES,Mad Max,Mindscape,1990-07-01
NES,Magic Darts,Romstar,1991-09-01
NES,Magic Johnson's Fast Break,Tradewest,1990-03-01
NES,Magic of Scheherazade,Culture Brain,1989-12-01
NES,Magician,Taxan,1991-02-01
NES,Magmax,FCI,1988-10-01
NES,Major League Baseball,LJN,1988-04-01
NES,Maniac Mansion,Jaleco,1990-09-01
NES,Mappyland,Taxan,1989-04-01
NES,Marble Madness,Milton Bradley,1989-03-01
NES,Mario Bros.,Nintendo,1986-06-01
NES,Mario is Missing,Mindscape,1993-07-01
NES,Mario's Time Machine,Mindscape,1994-06-01
NES,Marvel's X-Men,LJN,1989-12-01
NES,Mechanized Attack,SNK,1990-06-01
NES,Mega Man,Capcom,1987-12-01
NES,Mega Man 2,Capcom,1989-06-01
NES,Mega Man 3,Capcom,1990-11-01
NES,Mega Man 4,Capcom,1992-01-01
NES,Mega Man 5,Capcom,1992-12-01
NES,Mega Man 6,Nintendo,1994-03-01
NES,Mendel Palace,Hudson Soft,1990-10-01
NES,Metal Gear,Ultra Soft,1988-06-01
NES,Metal Mech,Jaleco,1991-03-01
NES,Metal Storm,Irem,1991-02-01
NES,Metroid,Nintendo,1986-08-01
NES,Michael Andretti's World Grand Prix,American Sammy,1990-06-01
NES,Mickey Mousecapades,Capcom,1988-10-01
NES,Mickey's Adventures in Numberland,Hi-Tech,1994-03-01
NES,Mickey's Safari in Letterland,Hi-Tech,1993-03-01
NES,Might & Magic: Secret of the Inner Sanctum,American Sammy,1992-08-01
NES,Mighty Bomb Jack,Tecmo,1987-07-01
NES,Mighty Final Fight,Capcom,1993-07-01
NES,Millipede,Hal America,1988-10-01
NES,Milon's Secret Castle,Hudson Soft,1988-09-01
NES,Mission: Impossible,Ultra Soft,1990-09-01
NES,Monopoly,Parker Brothers,1991-05-01
NES,Monster in My Pocket,Konami,1992-01-01
NES,Monster Party,Bandai,1989-06-01
NES,Monster Truck Rally,INTV,1991-09-01
NES,Motor City Patrol,Matchbox Toys,1992-01-01
NES,Ms. Pac Man,Namco,1993-11-01
NES,Muppet Adventure: Chaos at the Carnival,Hi-Tech,1990-11-01
NES,Mystery Quest,Taxan,1989-04-01
NES,NARC,Acclaim,1990-08-01
NES,NES Open Tournament Golf,Nintendo,1991-09-01
NES,NES Play Action Football,Nintendo,1990-09-01
NES,NFL Football,LJN,1989-09-01
NES,Nigel Mansell's World Championship Racing,Gametek,1993-10-01
NES,Nightshade,Ultra Soft,1992-01-01
NES,Ninja Crusaders,American Sammy,1990-12-01
NES,Ninja Gaiden,Tecmo,1989-03-01
NES,Ninja Gaiden II: The Dark Sword of Chaos,Tecmo,1990-05-01
NES,Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,1991-08-01
NES,Ninja Kid,Bandai,1986-10-01
NES,Nintendo World Cup Soccer,Nintendo,1990-12-01
NES,Nobunaga's Ambition,Koei,1989-06-01
NES,Nobunaga's Ambition II,Koei,1991-04-01
NES,North and South,Seika,1990-12-01
NES,Operation Wolf,Taito Software,1989-05-01
NES,Orb-3D,Hi-Tech,1990-10-01
NES,Othello,Acclaim,1988-12-01
NES,Overlord,Virgin Interactive,1993-01-01
NES,P.O.W.: Prisoners of War,SNK,1989-09-01
NES,Pac Man,Namco,1993-11-01
NES,Palamedes,Hot-B,1990-11-01
NES,Panic Restaurant,Taito Software,1992-10-01
NES,Paperboy,Mindscape,1988-12-01
NES,Paperboy 2,Mindscape,1992-04-01
NES,Peter Pan & the Pirates,THQ,1991-01-01
NES,Phantom Fighter,FCI,1990-04-01
NES,Pictionary,LJN,1990-07-01
NES,Pinball,Nintendo,1985-10-01
NES,Pinball Quest,Jaleco,1990-06-01
NES,Pinbot,Nintendo,1990-04-01
NES,Pipe Dream,Bullet Proof Software,1990-09-01
NES,Pirates!,Ultra Soft,1991-10-01
NES,Platoon,Sunsoft,1988-12-01
NES,Popeye,Nintendo,1986-06-01
NES,Power Blade,Taito Software,1991-03-01
NES,Power Blade 2,Taito Software,1992-10-01
NES,Power Punch II,American Softworks,1992-06-01
NES,Predator,Activision,1989-04-01
NES,Prince of Persia,Virgin Interactive,1992-11-01
NES,Princess Tomato in the Salad Kingdom,Hudson Soft,1991-02-01
NES,Pro Sport Hockey,Jaleco,1993-11-01
NES,Pro Wrestling,Nintendo,1987-03-01
NES,Punch-Out!! Featuring Mr. Dream,Nintendo,1987-10-01
NES,Puss 'N Boots: Pero's Great Adventure,Electro Brain,1990-06-01
NES,Puzznic,Taito Software,1990-11-01
NES,Q*Bert,Ultra Soft,1989-02-01
NES,Qix,Taito Software,1991-01-01
NES,R.C. Pro-Am II,Tradewest,1992-12-01
NES,R.C. Pro-Am Racing,Nintendo,1988-02-01
NES,Race America,Absolute,1992-05-01
NES,Racket Attack,Jaleco,1988-10-01
NES,Rad Racer,Nintendo,1987-10-01
NES,Rad Racer II,Square Soft,1990-06-01
NES,Raid on Bungeling Bay,Broderbund,1987-09-01
NES,Rainbow Islands,Taito Software,1991-06-01
NES,Rally Bike,Romstar,1990-09-01
NES,Rambo,Acclaim,1988-05-01
NES,Rampage,Data East,1988-12-01
NES,Rampart,Jaleco,1992-01-01
NES,Remote Control,Hi-Tech,1990-05-01
NES,Renegade,Taito Software,1988-01-01
NES,Rescue: The Embassy Mission,Seika,1990-01-01
NES,Ring King,Data East,1987-09-01
NES,River City Ransom,American Technos,1990-01-01
NES,RoadBlasters,Mindscape,1990-01-01
NES,Robin Hood: Prince of Thieves,Virgin Interactive,1991-11-01
NES,RoboCop,Data East,1989-12-01
NES,RoboCop 2,Data East,1991-04-01
NES,RoboCop 3,Ocean,1992-08-01
NES,Robowarrior,Jaleco,1988-12-01
NES,Rock 'n Ball,NTVIC,1990-01-01
NES,Rocket Ranger,Seika,1990-06-01
NES,Rockin' Kats,Atlus Software,1991-09-01
NES,Roger Clemens' MVP Baseball,LJN,1991-10-01
NES,Rollerball,Hal America,1990-02-01
NES,Rollerblade Racer,Hi-Tech,1993-02-01
NES,Rollergames,Ultra Soft,1990-09-01
NES,Romance of the Three Kingdoms,Koei,1989-10-01
NES,Romance of the Three Kingdoms II,Koei,1991-09-01
NES,Roundball: 2 on 2 Challenge,Mindscape,1992-05-01
NES,Rush 'n Attack,Konami,1987-04-01
NES,Rygar,Tecmo,1987-07-01
NES,S.C.A.T.: Special Cybernetic Attack Team,Natsume,1991-06-01
NES,Section Z,Capcom,1987-07-01
NES,Seicross,FCI,1988-10-01
NES,Sesame Street: 123,Hi-Tech,1989-01-01
NES,Sesame Street: ABC,Hi-Tech,1989-09-01
NES,Sesame Street: ABC/123,Hi-Tech,1991-11-01
NES,Sesame Street: Big Bird's Hide & Speak,Hi-Tech,1990-10-01
NES,Sesame Street: Countdown,Hi-Tech,1992-02-01
NES,Shadow of the Ninja,Natsume,1990-12-01
NES,Shadowgate,Seika,1989-12-01
NES,Shatterhand,Jaleco,1991-12-01
NES,Shingen the Ruler,Hot-B,1990-06-01
NES,Shooting Range,Bandai,1989-06-01
NES,Short Order/Eggsplode,Nintendo,1989-12-01
NES,Side Pocket,Data East,1987-06-01
NES,Silent Service,Ultra Soft,1989-12-01
NES,Silkworm,American Sammy,1990-06-01
NES,Silver Surfer,Virgin Interactive,1990-11-01
NES,Skate Or Die,Ultra Soft,1988-12-01
NES,Skate Or Die 2,EA Sports,1990-09-01
NES,Ski Or Die,Ultra Soft,1991-02-01
NES,Sky Kid,Sunsoft,1987-09-01
NES,Sky Shark,Taito Software,1989-09-01
NES,Slalom,Nintendo,1987-08-01
NES,Smash T.V.,Acclaim,1991-09-01
