Console,Title,Licensee,Released
GB,Puzzle Master,Metro 3D Studios,1999-12-01
GB,Pyramids of Ra,Matchbox Toys,1993-04-01
GB,Q Billion,Seta,1990-04-01
GB,Q*Bert,Jaleco,1992-02-01
GB,Qix,Nintendo,1990-05-01
GB,Quarth,Ultra Soft,1990-12-01
GB,Quest Fantasy Challenge,Sunsoft,1999-04-01
GB,Quest for Camelot,Nintendo,1998-12-01
GB,Quest RPG: Brian's Journey,Sunsoft,2000-01-01
GB,R-Type,Irem,1991-05-01
GB,R-Type DX,Nintendo,1999-06-01
GB,Race Days,Gametek,1994-11-01
GB,Race Drivin',THQ,1993-01-01
GB,Radar Mission,Nintendo,1991-02-01
GB,Raging Fighter,Konami,1993-06-01
GB,Rampage: World Tour,Midway,1998-12-01
GB,Rats!,Take 2 Interactive,1998-12-01
GB,Revelations: Demon Slayer,Atlus Software,1999-08-01
GB,Revenge of the 'Gator,Hal America,1990-03-01
GB,Riddick Bowe Boxing,Extreme,1994-01-01
GB,Ring Rage,Taito Software,1998-04-01
GB,Road Rash,Ocean,1996-10-01
GB,Roadsters Trophy,Titus,2000-01-01
GB,Robin Hood: Prince of Thieves,Virgin Interactive,1993-06-01
GB,RoboCop,Ocean,1990-12-01
GB,RoboCop 2,Ocean,1991-11-01
GB,RoboCop vs. Terminator,Virgin Interactive,1994-08-01
GB,Robopon Star,Atlus Software,2000-12-01
GB,Rocky and Bullwinkle,THQ,1992-10-01
GB,Roger Clemens' MVP Baseball,LJN,1992-09-01
GB,Rolan's Curse,American Sammy,1991-01-01
GB,Rolan's Curse II,American Sammy,1992-10-01
GB,Rugrats Time Traveler,THQ,1999-11-01
GB,Rugrats: The Movie,THQ,1998-12-01
GB,Samurai Shodown,Takara,1994-11-01
GB,SeaQuest: DSV,Malibu Games,1994-11-01
GB,Serpent,Taxan,1990-11-01
GB,Shadowgate Classic,Nintendo,1999-01-01
GB,Shamus,Vatical Entertainment,2000-03-01
GB,Shanghai,Hal America,1990-06-01
GB,Shanghai Pocket,Sunsoft,1998-12-01
GB,Shaq Fu,Black Pearl Software,1995-10-01
GB,Side Pocket,Data East,1990-11-01
GB,Skate Or Die: Bad 'N Rad,Konami,1990-09-01
GB,Skate Or Die: Tour de Thrash,EA Sports,1991-06-01
GB,Small Soldiers,THQ,1998-11-01
