Console,Title,Licensee,Released
SNES,Pac-Attack,Namco,1993-10-01
SNES,Pac-in-Time,Namco,1995-01-01
SNES,Pac-Man 2: The New Adventures,Majesco,1994-09-01
SNES,Packy and Marlon,Raya Systems,1995-06-01
SNES,Paladin's Quest,Enix,1993-10-01
SNES,Paperboy 2,Majesco,1991-11-01
SNES,PGA European Tour,Black Pearl Software,1996-09-01
SNES,PGA Tour '96,Black Pearl Software,1996-01-01
SNES,PGA Tour Golf,EA Sports,1992-03-01
SNES,Phalanx: The Enforce Fighter A-144,Kemco,1992-10-01
SNES,Phantom 2040,Viacom New Media,1995-06-01
SNES,Pieces,Atlus Software,1994-12-01
SNES,Pilotwings,Nintendo,1991-08-01
SNES,Pinball Dreams,Gametek,1994-04-01
SNES,Pinball Fantasies,Gametek,1995-02-01
SNES,Pink Panther in Pink Goes to Hollywood,TecMagik,1993-11-01
SNES,Pinocchio,Nintendo,1996-11-01
SNES,Pit-Fighter,THQ,1992-03-01
SNES,Pitfall: The Mayan Adventure,Majesco,1994-11-01
SNES,Plok,Tradewest,1993-09-01
SNES,Pocky & Rocky,Natsume,1993-06-01
SNES,Pocky & Rocky 2,Natsume,1994-11-01
SNES,Populous,Acclaim,1991-09-01
SNES,Porky Pig's Haunted Holiday,Acclaim,1995-10-01
SNES,Power Instinct,Atlus Software,1994-12-01
SNES,Power Moves,Kaneko,1993-01-01
SNES,Power Piggs of the Dark Ages,Titus,1996-05-01
SNES,Power Rangers Zeo: Battle Racers,Bandai,1996-09-01
SNES,Prehistorik Man,Titus,1996-01-01
SNES,Primal Rage,Time Warner,1995-08-01
SNES,Prince of Persia,Konami,1992-11-01
SNES,Prince of Persia 2: The Shadow and the Flame,Titus,1996-10-01
SNES,Pro Quarterback,Tradewest,1992-12-01
SNES,Pro Sport Hockey,Jaleco,1994-02-01
SNES,Push-Over,Ocean,1992-12-01
SNES,Q*Bert 3,NTVIC,1992-10-01
SNES,R-Type III: The Third Lightning,Jaleco,1994-10-01
SNES,Race Drivin',THQ,1992-10-01
SNES,Radical Rex,Activision,1994-10-01
SNES,Raiden Trad,Electro Brain,1992-04-01
SNES,Rampart,Electronic Arts,1992-08-01
SNES,Ranma 1⁄2: Hard Battle,DTMC,1993-11-01
SNES,Rap Jam: Volume One,Mandingo,1995-01-01
SNES,Realm,Titus,1996-12-01
SNES,Red Line: F-1 Racer,Absolute,1993-09-01
SNES,Relief Pitcher,Left Field Ent.,1994-05-01
SNES,Ren & Stimpy Show Part II: Fire Dogs,THQ,1994-06-01
SNES,Revolution X,Acclaim,1995-12-01
SNES,Rex Ronan: Experimental Surgeon,Raya Systems,1994-05-01
SNES,Riddick Bowe Boxing,Extreme,1994-01-01
SNES,Rise of the Phoenix,Koei,1995-02-01
SNES,Rise of the Robots,Acclaim,1994-12-01
SNES,Rival Turf!,Jaleco,1992-04-01
SNES,Road Riot 4WD,THQ,1992-11-01
SNES,Road Runner's Death Valley Rally,Sunsoft,1992-11-01
SNES,RoboCop 3,Ocean,1992-09-01
SNES,RoboCop versus the Terminator,Virgin Interactive,1993-11-01
SNES,Robotrek,Enix,1994-10-01
SNES,Rock 'N Roll Racing,Interplay,1993-09-01
SNES,Rocko's Modern Life: Spunky's Dangerous Day,Viacom New Media,1994-04-01
SNES,Rocky Rodent,Irem,1993-09-01
SNES,Roger Clemens' MVP Baseball,LJN,1992-09-01
SNES,Romance of the Three Kingdoms II,Koei,1992-05-01
SNES,Romance of the Three Kingdoms III: Dragon of Destiny,Koei,1993-12-01
SNES,Romance of the Three Kingdoms IV: Wall of Fire,Koei,1995-07-01
SNES,RPM Racing,Interplay,1991-11-01
SNES,Run Saber,Atlus Software,1993-09-01
SNES,S.O.S.,Vic Tokai,1994-04-01
SNES,S.O.S. Sink or Swim,Titus,1996-01-01
SNES,S.W.A.T. Kats: The Radical Squadron,Hudson Soft,1995-08-01
SNES,Samurai Shodown,Takara,1994-11-01
SNES,Saturday Night Slam Masters,Capcom,1994-06-01
SNES,Scooby Doo,Majesco,1995-11-01
SNES,SeaQuest: DSV,Malibu Games,1995-01-01
SNES,Secret of Evermore,Square Soft,1995-10-01
SNES,Secret of Mana,Square Soft,1993-10-01
SNES,Shadowrun,Data East,1993-05-01
SNES,Shanghai II: Dragon's Eye,Activision,1993-02-01
SNES,Shaq Fu,Electronic Arts,1994-10-01
SNES,Shien's Revenge,Vic Tokai,1994-10-01
SNES,Sid Meier's Civilization,Koei,1995-11-01
SNES,Side Pocket,Data East,1993-12-01
SNES,SimAnt: The Electronic Ant Colony,Maxis Software,1993-10-01
SNES,SimCity,Nintendo,1991-08-01
